Sample	Ribosomal	Bacteria	Virus	Archaea	Eukaryota	Unclassified	Total Reads
HTP-2023-12-03	True	85.52%	0.00%	0.09%	0.54%	13.84%	245423
HTP-2023-12-10	True	86.48%	0.00%	0.05%	0.55%	12.92%	115566
HTP-2023-12-25	True	87.07%	0.00%	0.36%	0.67%	11.89%	626889
HTP-2023-12-17	True	91.97%	0.00%	0.13%	0.95%	6.94%	295414
HTP-2024-01-07	True	86.76%	0.00%	0.28%	0.26%	12.70%	293557
HTP-2024-01-15	True	96.34%	0.00%	0.05%	0.26%	3.34%	220903
HTP-2024-01-21	True	85.26%	0.00%	0.08%	0.42%	14.24%	350355
HTP-2024-01-28	True	94.60%	0.00%	0.10%	0.64%	4.66%	317391
HTP-2024-02-04	True	81.01%	0.00%	0.46%	1.07%	17.46%	368045
HTP-2024-02-11	True	78.99%	0.00%	0.88%	0.60%	19.52%	481109
HTP-2024-02-19	True	83.52%	0.00%	0.25%	1.23%	15.00%	558339
HTP-2024-03-03	True	86.62%	0.00%	0.16%	0.46%	12.77%	362668
HTP-2024-02-25	True	87.34%	0.00%	0.05%	0.11%	12.50%	131299
HTP-2024-03-17	True	88.90%	0.00%	0.03%	0.18%	10.89%	3360
HTP-2024-03-25	True	86.71%	0.00%	0.20%	0.37%	12.72%	6492
HTP-2024-03-31	True	85.24%	0.00%	0.24%	0.41%	14.11%	65995
HTP-2024-04-07	True	87.05%	0.00%	0.05%	0.42%	12.47%	104123
HTP-2024-04-14	True	79.84%	0.00%	0.40%	0.63%	19.12%	125160
HTP-2024-01-01	True	87.12%	0.00%	0.11%	1.56%	11.21%	321260
HTP-2024-03-10	True	89.46%	0.00%	0.13%	0.16%	10.26%	12579
HTP-2023-12-03	False	4.95%	1.94%	0.02%	1.19%	91.90%	744361
HTP-2023-12-10	False	5.15%	2.52%	0.02%	0.80%	91.51%	879644
HTP-2023-12-25	False	21.67%	3.61%	0.11%	0.71%	73.90%	365400
HTP-2023-12-17	False	4.72%	3.04%	0.01%	0.21%	92.01%	699994
HTP-2024-01-07	False	6.73%	3.24%	0.02%	0.41%	89.59%	702187
HTP-2024-01-15	False	2.65%	5.62%	0.01%	0.12%	91.60%	776338
HTP-2024-01-21	False	5.13%	4.93%	0.02%	0.53%	89.39%	639646
HTP-2024-01-28	False	2.97%	3.74%	0.03%	0.07%	93.19%	679108
HTP-2024-02-04	False	6.37%	2.58%	0.04%	0.32%	90.68%	622413
HTP-2024-02-11	False	5.76%	1.62%	0.05%	0.25%	92.32%	508516
HTP-2024-02-19	False	6.79%	2.44%	0.07%	0.27%	90.41%	426490
HTP-2024-03-03	False	6.03%	4.19%	0.01%	0.93%	88.84%	631400
HTP-2024-02-25	False	3.33%	1.87%	0.01%	1.50%	93.29%	866563
HTP-2024-03-17	False	1.87%	1.16%	0.01%	0.08%	96.88%	997896
HTP-2024-03-25	False	2.09%	0.49%	0.01%	0.15%	97.25%	992526
HTP-2024-03-31	False	2.17%	1.08%	0.01%	0.13%	96.60%	934075
HTP-2024-04-07	False	2.76%	2.04%	0.01%	0.29%	94.90%	894538
HTP-2024-04-14	False	2.62%	2.89%	0.01%	0.66%	93.82%	871098
HTP-2024-01-01	False	4.25%	5.96%	0.08%	0.36%	89.36%	668818
HTP-2024-03-10	False	2.17%	0.47%	0.01%	0.15%	97.19%	985166
