Sample	Country	State	County	City	Treatment Plant	Date	Reads
HTP-2024-02-19	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-02-19	1.36B
HTP-2023-12-10	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2023-12-10	1.76B
HTP-2024-02-11	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-02-11	1.72B
HTP-2024-01-21	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-01-21	1.89B
HTP-2024-01-28	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-01-28	1.92B
HTP-2024-01-07	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-01-07	2.05B
HTP-2024-03-17	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-03-17	2.06B
HTP-2024-03-31	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-03-31	2.21B
HTP-2024-03-25	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-03-25	2.13B
HTP-2023-12-17	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2023-12-17	2.08B
HTP-2024-03-03	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-03-03	2.37B
HTP-2024-02-04	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-02-04	2.30B
HTP-2023-12-25	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2023-12-25	2.36B
HTP-2024-01-01	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-01-01	2.81B
HTP-2024-04-07	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-04-07	2.11B
HTP-2024-04-14	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-04-14	2.12B
HTP-2024-02-25	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-02-25	2.77B
HTP-2024-01-15	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-01-15	2.08B
HTP-2023-12-03	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2023-12-03	2.18B
HTP-2024-03-10	United States	California	Los Angeles County	Los Angeles	Hyperion Treatment Plant	2024-03-10	2.61B
