Sample	Bacteria	Virus	Archaea	Eukaryota	Unclassified
HTP-2023-12-03	24.93%	1.46%	0.03%	1.03%	72.55%
HTP-2023-12-10	14.59%	2.23%	0.02%	0.77%	82.38%
HTP-2023-12-25	62.98%	1.33%	0.27%	0.69%	34.73%
HTP-2023-12-17	30.62%	2.14%	0.05%	0.43%	66.76%
HTP-2024-01-07	30.32%	2.29%	0.09%	0.37%	66.92%
HTP-2024-01-15	23.40%	4.37%	0.02%	0.15%	72.05%
HTP-2024-01-21	33.49%	3.18%	0.04%	0.49%	62.79%
HTP-2024-01-28	32.15%	2.55%	0.05%	0.25%	64.99%
HTP-2024-02-04	34.11%	1.62%	0.20%	0.60%	63.47%
HTP-2024-02-11	41.36%	0.83%	0.46%	0.42%	56.93%
HTP-2024-02-19	50.29%	1.06%	0.17%	0.81%	47.66%
HTP-2024-03-03	35.43%	2.66%	0.07%	0.76%	61.08%
HTP-2024-02-25	14.38%	1.62%	0.02%	1.32%	82.66%
HTP-2024-03-17	2.16%	1.16%	0.01%	0.08%	96.59%
HTP-2024-03-25	2.64%	0.49%	0.01%	0.16%	96.70%
HTP-2024-03-31	7.65%	1.01%	0.03%	0.15%	91.16%
HTP-2024-04-07	11.55%	1.83%	0.02%	0.30%	86.30%
HTP-2024-04-14	12.32%	2.52%	0.06%	0.66%	84.43%
HTP-2024-01-01	31.14%	4.02%	0.09%	0.75%	64.00%
HTP-2024-03-10	3.27%	0.47%	0.01%	0.15%	96.10%
